fid,OBJECTID,BGRI2021,DT21,DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,NUTS1,NUTS2,NUTS3,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ,N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_1_OU_2_PISOS,N_EDIFICIOS_3_OU_MAIS_PISOS,N_EDIFICIOS_CONSTR_ANTES_1945,N_EDIFICIOS_CONSTR_1946_1980,N_EDIFICIOS_CONSTR_1981_2000,N_EDIFICIOS_CONSTR_2001_2010,N_EDIFICIOS_CONSTR_2011_2021,N_EDIFICIOS_COM_NECESSIDADES_REPARACAO,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASS_RHABITUAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA,N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS,N_RHABITUAL_COM_ESTACIONAMENTO,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_AGREGADOS_DOMESTICOS_PRIVADOS,N_ADP_1_OU_2_PESSOAS,N_ADP_3_OU_MAIS_PESSOAS,N_NUCLEOS_FAMILIARES,N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25,N_INDIVIDUOS,N_INDIVIDUOS_H,N_INDIVIDUOS_M,N_INDIVIDUOS_0_14,N_INDIVIDUOS_15_24,N_INDIVIDUOS_25_64,N_INDIVIDUOS_65_OU_MAIS,SHAPE_Length,SHAPE_Area,lon,lat
1,52,13121000702,13,1312,131210,131210007,7,2,702,13121000702,1,11,11A,59,44,15,58,43,16,25,26,5,3,0,34,202,202,155,47,29,73,103,39,155,105,50,98,40,328,145,183,29,34,184,81,612.308514074003,21064.4734505574,-8.618940663097668,41.17030858536361
2,53,13120302118,13,1312,131203,131203021,21,18,2118,13120302118,1,11,11A,21,13,7,21,11,10,0,19,2,0,0,13,73,72,58,14,0,14,13,43,58,46,12,33,10,134,54,80,8,10,55,61,481.233388930995,13437.2764095628,-8.581993336178352,41.1706153819786
3,54,13121103402,13,1312,131211,131211034,34,2,3402,13121103402,1,11,11A,31,26,5,31,20,11,17,9,1,4,0,7,78,78,71,7,10,21,26,42,71,50,21,40,18,143,67,76,15,8,79,41,707.17885926795,13484.0487385289,-8.650812729282652,41.17003502104677
4,55,13121600903,13,1312,131216,131216009,9,3,903,13121600903,1,11,11A,57,46,11,57,44,13,0,44,13,0,0,7,109,109,94,15,24,65,64,23,94,62,32,57,24,205,89,116,33,12,100,60,824.199640879331,24498.6209212819,-8.669217483900551,41.16981999736135
5,56,13121600403,13,1312,131216,131216004,4,3,403,13121600403,1,11,11A,4,4,0,4,4,0,0,2,1,1,0,2,6,6,2,4,1,2,0,1,2,1,1,1,1,5,2,3,0,1,2,2,177.035284103556,1829.03386205084,-8.657193201788877,41.170809799815075
6,57,13120301810,13,1312,131203,131203018,18,10,1810,13120301810,1,11,11A,16,16,0,16,5,11,9,0,3,1,3,1,16,16,14,2,2,14,14,0,14,9,5,13,4,34,14,20,2,4,10,18,361.472127135844,7142.32992200887,-8.585462782019203,41.1708478054576
7,58,13120301813,13,1312,131203,131203018,18,13,1813,13120301813,1,11,11A,16,16,0,16,0,16,11,0,2,3,0,5,16,16,14,2,2,11,13,1,14,7,7,12,5,41,20,21,3,6,18,14,394.006733640071,8155.27670345594,-8.584913027524086,41.17194128572828
8,59,13121001303,13,1312,131210,131210013,13,3,1303,13121001303,1,11,11A,4,4,0,4,4,0,0,2,0,2,0,0,4,4,4,0,1,4,4,0,4,1,3,3,1,13,7,6,3,1,7,2,154.827970601439,1426.45942553179,-8.59958821589086,41.172355865100904
9,60,13121002206,13,1312,131210,131210022,22,6,2206,13121002206,1,11,11A,15,0,15,15,0,15,0,14,1,0,0,0,143,143,139,4,0,2,1,136,139,92,47,85,40,310,147,163,36,37,152,85,557.264698290005,14545.7880471436,-8.596833958447007,41.17205723571251
10,61,13121103404,13,1312,131211,131211034,34,4,3404,13121103404,1,11,11A,25,10,15,25,6,19,3,11,1,9,1,6,129,129,117,12,11,24,29,83,117,72,45,88,40,284,137,147,45,28,138,73,782.409122670989,24968.5182271873,-8.653709883806465,41.17122700927289
