WKT,fid,OBJECTID,BGRI2021,DT21,DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,NUTS1,NUTS2,NUTS3,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ,N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_1_OU_2_PISOS,N_EDIFICIOS_3_OU_MAIS_PISOS,N_EDIFICIOS_CONSTR_ANTES_1945,N_EDIFICIOS_CONSTR_1946_1980,N_EDIFICIOS_CONSTR_1981_2000,N_EDIFICIOS_CONSTR_2001_2010,N_EDIFICIOS_CONSTR_2011_2021,N_EDIFICIOS_COM_NECESSIDADES_REPARACAO,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASS_RHABITUAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA,N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS,N_RHABITUAL_COM_ESTACIONAMENTO,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_AGREGADOS_DOMESTICOS_PRIVADOS,N_ADP_1_OU_2_PESSOAS,N_ADP_3_OU_MAIS_PESSOAS,N_NUCLEOS_FAMILIARES,N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25,N_INDIVIDUOS,N_INDIVIDUOS_H,N_INDIVIDUOS_M,N_INDIVIDUOS_0_14,N_INDIVIDUOS_15_24,N_INDIVIDUOS_25_64,N_INDIVIDUOS_65_OU_MAIS,SHAPE_Length,SHAPE_Area
"MULTIPOLYGON (((-40792.8514 166989.434800001,-40733.1306 166944.479699999,-40666.2889 166880.8025,-40656.7041 166866.998199999,-40744.4156 166803.9592,-40854.4589 166917.0997,-40866.0564 166914.021600001,-40873.6614 166954.8828,-40810.4248 167008.638699999,-40792.8514 166989.434800001)))","1","52","13121000702","13","1312","131210","131210007","007","02","00702","13121000702","1","11",11A,59,44,15,58,43,16,25,26,5,3,0,34,202,202,155,47,29,73,103,39,155,105,50,98,40,328,145,183,29,34,184,81,612.308514074003,21064.4734505574
"MULTIPOLYGON (((-37680.2542 167001.2645,-37667.6646 166994.2608,-37658.146 166985.215299999,-37646.7853 166971.4989,-37638.4945 166956.615499999,-37629.8977 166942.9001,-37622.834 166935.6044,-37609.0175 166927.7248,-37597.6559 166921.3051,-37581.7845 166918.189300001,-37604.0523 166886.587400001,-37604.0853 166886.5474,-37610.5719 166878.7037,-37617.1476 166869.187100001,-37619.2564 166863.734300001,-37618.6754 166859.919399999,-37630.1689 166857.521500001,-37638.0626 166856.928400001,-37645.1953 166857.998400001,-37663.2996 166863.665100001,-37746.0224 166895.4734,-37714.0285 166972.081499999,-37698.3705 167008.9441,-37680.2542 167001.2645)))","2","53","13120302118","13","1312","131203","131203021","021","18","02118","13120302118","1","11",11A,21,13,7,21,11,10,0,19,2,0,0,13,73,72,58,14,0,14,13,43,58,46,12,33,10,134,54,80,8,10,55,61,481.233388930995,13437.2764095628
"MULTIPOLYGON (((-43406.1588 166894.229900001,-43347.9818 166830.707699999,-43419.37 166766.494200001,-43438.5172 166771.0217,-43432.3208 166804.4264,-43425.6674 166840.2929,-43425.6675 166845.126700001,-43426.4725 166848.3506,-43458.6915 166897.232899999,-43469.4311 166908.782199999,-43481.2437 166919.793500001,-43506.2138 166939.132200001,-43520.1023 166951.181399999,-43521.1963 166952.134400001,-43522.9142 166953.0133,-43524.0071 166953.452299999,-43525.2571 166953.745200001,-43527.913 166954.111199999,-43530.8029 166954.551100001,-43536.1916 166954.99,-43543.2983 166955.4298,-43551.5779 166955.795700001,-43556.1077 166956.0876,-43557.3567 166956.2336,-43560.0906 166956.7465,-43561.2625 166957.1864,-43563.2925 166958.577400001,-43565.7144 166960.9212,-43567.7443 166963.5581,-43568.9063 166966.185900001,-43558.8027 166968.721,-43549.4112 166977.3508,-43512.3462 167011.787,-43406.1588 166894.229900001)))","3","54","13121103402","13","1312","131211","131211034","034","02","03402","13121103402","1","11",11A,31,26,5,31,20,11,17,9,1,4,0,7,78,78,71,7,10,21,26,42,71,50,21,40,18,143,67,76,15,8,79,41,707.17885926795,13484.0487385289
"MULTIPOLYGON (((-45059.1806 166999.6187,-45056.0087 166988.7103,-45042.6569 166949.999199999,-45033.0103 166940.5088,-45031.1233 166938.653,-45019.4728 166928.105599999,-45007.8222 166917.5583,-44961.008 166883.808700001,-44929.0613 166871.5758,-44876.6246 166873.339600001,-44871.6908 166874.424699999,-44871.6508 166874.1447,-44871.3798 166873.2447,-44870.9778 166872.3398,-44870.4759 166871.5208,-44869.8979 166870.8049,-44869.2659 166870.1939,-44868.6029 166869.685900001,-44867.9209 166869.276,-44867.176 166868.932,-44866.355 166868.663,-44865.467 166868.485,-44864.5201 166868.4191,-44863.5411 166868.4791,-44862.5522 166868.676100001,-44861.5812 166869.0151,-44861.1262 166869.2501,-44857.8083 166863.4134,-44857.7772 166851.3959,-44855.7073 166846.600199999,-44840.0599 166834.924,-44847.6645 166827.701199999,-44859.4169 166816.6745,-44923.1665 166756.862,-44938.221 166774.232,-44961.8971 166790.948799999,-45007.2854 166825.2785,-45017.3231 166836.297800001,-45035.6304 166858.271500001,-45045.4571 166869.2588,-45056.4407 166876.3903,-45076.8669 166887.569399999,-45082.4547 166894.702,-45127.2323 166959.9803,-45135.776 166973.037599999,-45108.9004 166990.5132,-45062.9056 167012.4241,-45059.1806 166999.6187)))","4","55","13121600903","13","1312","131216","131216009","009","03","00903","13121600903","1","11",11A,57,46,11,57,44,13,0,44,13,0,0,7,109,109,94,15,24,65,64,23,94,62,32,57,24,205,89,116,33,12,100,60,824.199640879331,24498.6209212819
"MULTIPOLYGON (((-43954.3431 166993.9131,-43965.0127 166971.293199999,-43980.5648 166946.623500001,-43980.5969 166946.644400001,-44007.2709 166963.9922,-43978.4631 167015.252499999,-43954.3431 166993.9131)))","5","56","13121600403","13","1312","131216","131216004","004","03","00403","13121600403","1","11",11A,4,4,0,4,4,0,0,2,1,1,0,2,6,6,2,4,1,2,0,1,2,1,1,1,1,5,2,3,0,1,2,2,177.035284103556,1829.03386205084
"MULTIPOLYGON (((-37911.0565 166996.3116,-37951.7808 166892.5165,-37955.2726 166882.3199,-38009.5935 166904.0647,-37966.1414 167017.648399999,-37911.0565 166996.3116)))","6","57","13120301810","13","1312","131203","131203018","018","10","01810","13120301810","1","11",11A,16,16,0,16,5,11,9,0,3,1,3,1,16,16,14,2,2,14,14,0,14,9,5,13,4,34,14,20,2,4,10,18,361.472127135844,7142.32992200887
"MULTIPOLYGON (((-37862.1248 167126.139599999,-37870.8562 167100.9356,-37904.6009 167012.958900001,-37911.0565 166996.3116,-37966.1414 167017.648399999,-37959.5629 167034.6788,-37916.3268 167146.603599999,-37862.1248 167126.139599999)))","7","58","13120301813","13","1312","131203","131203018","018","13","01813","13120301813","1","11",11A,16,16,0,16,0,16,11,0,2,3,0,5,16,16,14,2,2,11,13,1,14,7,7,12,5,41,20,21,3,6,18,14,394.006733640071,8155.27670345594
"MULTIPOLYGON (((-39117.1275 167120.060699999,-39160.3035 167100.506200001,-39172.6843 167128.5341,-39129.5983 167147.1745,-39117.1275 167120.060699999)))","8","59","13121001303","13","1312","131210","131210013","013","03","01303","13121001303","1","11",11A,4,4,0,4,4,0,0,2,0,2,0,0,4,4,4,0,1,4,4,0,4,1,3,3,1,13,7,6,3,1,7,2,154.827970601439,1426.45942553179
"MULTIPOLYGON (((-38837.6002 167123.9189,-38823.7587 167111.8364,-38792.6955 167064.1395,-38806.6479 167066.121300001,-38831.0279 167066.726199999,-38850.816 167065.551100001,-38867.5203 167063.6961,-38901.9688 167057.8402,-38920.135 167053.666300001,-38925.7918 167052.3663,-38934.1624 167050.442299999,-38970.0498 167041.543500001,-38993.4178 167035.2216,-39001.8284 167033.1017,-39025.676 167088.4824,-39000.8371 167098.790100001,-38968.6536 167112.1467,-38946.2327 167122.103399999,-38927.4162 167130.459899999,-38908.4904 167138.865,-38881.2267 167150.9736,-38837.6002 167123.9189)))","9","60","13121002206","13","1312","131210","131210022","022","06","02206","13121002206","1","11",11A,15,0,15,15,0,15,0,14,1,0,0,0,143,143,139,4,0,2,1,136,139,92,47,85,40,310,147,163,36,37,152,85,557.264698290005,14545.7880471436
"MULTIPOLYGON (((-43757.3337 167151.498500001,-43731.1475 167116.5035,-43714.4071 167096.794600001,-43699.6266 167083.2415,-43686.3491 167075.075099999,-43645.9577 167055.117699999,-43628.0684 167048.247300001,-43589.1209 167025.076,-43549.4112 166977.3508,-43558.8027 166968.721,-43568.9063 166966.185900001,-43584.4716 166962.2818,-43595.568 166958.648800001,-43619.2059 166944.8299,-43632.3332 166933.9092,-43638.5768 166921.2006,-43703.166 166934.3169,-43707.5119 166937.215700001,-43709.8298 166940.694499999,-43710.2218 166943.8554,-43711.4899 166954.925899999,-43710.3882 166990.871300001,-43714.2912 167000.627800001,-43721.6089 167007.4574,-43736.2433 167013.311899999,-43732.6726 167030.7322,-43739.0934 167031.704,-43761.6414 167037.090399999,-43790.5112 167043.987600001,-43825.3167 167051.615599999,-43783.0072 167117.9235,-43757.3577 167151.7805,-43757.3337 167151.498500001)))","10","61","13121103404","13","1312","131211","131211034","034","04","03404","13121103404","1","11",11A,25,10,15,25,6,19,3,11,1,9,1,6,129,129,117,12,11,24,29,83,117,72,45,88,40,284,137,147,45,28,138,73,782.409122670989,24968.5182271873
