wkt_geom	fid	OBJECTID	BGRI2021	DT21	DTMN21	DTMNFR21	DTMNFRSEC21	SECNUM21	SSNUM21	SECSSNUM21	SUBSECCAO	NUTS1	NUTS2	NUTS3	N_EDIFICIOS_CLASSICOS	N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ	N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS	N_EDIFICIOS_EXCLUSIV_RESID	N_EDIFICIOS_1_OU_2_PISOS	N_EDIFICIOS_3_OU_MAIS_PISOS	N_EDIFICIOS_CONSTR_ANTES_1945	N_EDIFICIOS_CONSTR_1946_1980	N_EDIFICIOS_CONSTR_1981_2000	N_EDIFICIOS_CONSTR_2001_2010	N_EDIFICIOS_CONSTR_2011_2021	N_EDIFICIOS_COM_NECESSIDADES_REPARACAO	N_ALOJAMENTOS_TOTAL	N_ALOJAMENTOS_FAMILIARES	N_ALOJAMENTOS_FAM_CLASS_RHABITUAL	N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA	N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS	N_RHABITUAL_COM_ESTACIONAMENTO	N_RHABITUAL_PROP_OCUP	N_RHABITUAL_ARRENDADOS	N_AGREGADOS_DOMESTICOS_PRIVADOS	N_ADP_1_OU_2_PESSOAS	N_ADP_3_OU_MAIS_PESSOAS	N_NUCLEOS_FAMILIARES	N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25	N_INDIVIDUOS	N_INDIVIDUOS_H	N_INDIVIDUOS_M	N_INDIVIDUOS_0_14	N_INDIVIDUOS_15_24	N_INDIVIDUOS_25_64	N_INDIVIDUOS_65_OU_MAIS	SHAPE_Length	SHAPE_Area
MultiPolygon (((-39225.88019999954849482 163959.67380000092089176, -39285.73950000014156103 163862.46639999933540821, -39304.52460000012069941 163861.00129999965429306, -39323.79480000026524067 163859.77099999971687794, -39327.76759999990463257 163859.63499999977648258, -39337.13219999987632036 163861.50870000012218952, -39344.60300000011920929 163866.03849999979138374, -39349.58279999997466803 163871.02019999921321869, -39352.18680000025779009 163877.70089999958872795, -39357.00580000039190054 163890.39230000041425228, -39355.32689999975264072 163894.27869999967515469, -39349.526999999769032 163904.05870000086724758, -39342.09759999997913837 163915.26879999972879887, -39324.88790000043809414 163929.04880000092089176, -39310.0281999995931983 163936.1188999991863966, -39299.63879999984055758 163940.89959999918937683, -39295.38289999961853027 163942.0811999998986721, -39292.25910000037401915 163943.12309999950230122, -39286.57230000011622906 163945.12509999983012676, -39284.49039999954402447 163945.60610000044107437, -39281.68659999966621399 163945.95810000039637089, -39264.00839999970048666 163951.32399999909102917, -39257.09570000041276217 163952.43099999986588955, -39250.36099999956786633 163953.76090000011026859, -39238.54160000011324883 163962.94260000064969063, -39220.76549999974668026 163968.75349999964237213, -39225.88019999954849482 163959.67380000092089176)))	64	155109	13120200103	13	1312	131202	131202001	001	03	00103	13120200103	1	11	11A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376.485829821165	7130.85267045197
MultiPolygon (((-39185.45940000005066395 164005.37429999932646751, -39153.07249999977648258 163976.21660000085830688, -39237.78839999996125698 163841.82340000011026859, -39285.73950000014156103 163862.46639999933540821, -39225.88019999954849482 163959.67380000092089176, -39220.76549999974668026 163968.75349999964237213, -39202.95260000042617321 163997.61350000090897083, -39197.25189999956637621 164006.10620000027120113, -39193.45519999973475933 164013.13389999978244305, -39185.45940000005066395 164005.37429999932646751)))	342	165085	13120200105	13	1312	131202	131202001	001	05	00105	13120200105	1	11	11A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	442.503609477652	8814.41261045296
MultiPolygon (((-37200.70260000042617321 165417.5068999994546175, -37156.40940000023692846 165412.18830000050365925, -37105.39950000029057264 165392.28240000084042549, -37132.60010000038892031 165371.82000000029802322, -37147.52830000035464764 165353.97369999997317791, -37160.91970000043511391 165355.51750000007450581, -37185.60969999991357327 165359.81519999913871288, -37218.97130000032484531 165362.05100000090897083, -37247.50219999998807907 165379.46209999918937683, -37251.7571000000461936 165382.46900000050663948, -37283.65390000026673079 165405.00489999912679195, -37270.79250000044703484 165409.36580000072717667, -37202.72950000036507845 165417.74990000016987324, -37200.70260000042617321 165417.5068999994546175)))	1180	170558	13120301501	13	1312	131203	131203015	015	01	01501	13120301501	1	11	11A	2	1	1	2	2	0	1	1	0	0	0	2	4	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390.538458421008	6934.38144229594
MultiPolygon (((-37771.37889999989420176 165286.68310000002384186, -37767.17970000021159649 165251.01549999974668026, -37761.30269999988377094 165222.66870000027120113, -37752.48670000024139881 165186.44820000045001507, -37740.73089999984949827 165152.19459999911487103, -37736.00769999995827675 165139.96120000071823597, -37727.10910000000149012 165116.91310000047087669, -37740.31049999967217445 165109.28130000084638596, -37747.86710000038146973 165099.04570000059902668, -37753.74270000029355288 165086.05309999920427799, -37755.42250000033527613 165076.21050000004470348, -37756.36639999970793724 165065.95989999920129776, -37755.50229999981820583 165057.31729999929666519, -37753.34240000043064356 165048.67459999956190586, -37751.39840000029653311 165045.64980000071227551, -37771.6084000002592802 165031.90619999915361404, -37781.1309000002220273 165024.36739999987185001, -37787.34250000026077032 165013.02290000021457672, -37790.73429999966174364 165003.05719999969005585, -37792.00619999971240759 164994.78759999945759773, -37791.15809999965131283 164984.60999999940395355, -37788.18919999990612268 164976.76429999992251396, -37783.10230000037699938 164967.43469999916851521, -37778.01549999974668026 164961.92190000042319298, -37771.65670000016689301 164956.72619999945163727, -37749.15649999957531691 164944.90579999983310699, -37735.8240999998524785 164943.98589999973773956, -37728.76809999998658895 164908.78130000084638596, -37726.60809999983757734 164901.43559999950230122, -37715.37719999998807907 164866.43410000018775463, -37694.9955000001937151 164795.69899999909102917, -37704.48000000044703484 164790.70710000023245811, -37744.60790000017732382 164756.9561999998986721, -37808.86380000039935112 164718.77040000073611736, -37817.15529999975115061 164711.14970000088214874, -37820.30609999969601631 164703.21700000017881393, -37821.11180000007152557 164676.49400000087916851, -37824.54760000016540289 164670.0352999996393919, -37846.9727999996393919 164581.48670000024139881, -37871.79879999998956919 164483.45340000092983246, -37876.59810000006109476 164437.66320000030100346, -37927.13590000011026859 164311.40269999951124191, -37945.52740000002086163 164265.4926999993622303, -37955.24100000038743019 164269.5044999998062849, -37978.38709999993443489 164279.06399999931454659, -37938.12849999964237213 164378.60180000029504299, -37895.5509000001475215 164813.46519999951124191, -37878.82070000004023314 164924.62189999967813492, -37857.90679999999701977 165043.70830000005662441, -37814.52709999959915876 165290.51769999973475933, -37811.45230000000447035 165300.41330000013113022, -37772.41600000020116568 165303.70240000076591969, -37771.37889999989420176 165286.68310000002384186)))	1062	170187	13120301707	13	1312	131203	131203017	017	07	01707	13120301707	1	11	11A	2	2	0	2	2	0	2	0	0	0	0	2	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2312.02267995211	93470.7792965762
MultiPolygon (((-37393.20720000006258488 165512.09909999929368496, -37387.87399999983608723 165353.49840000085532665, -37386.69170000031590462 165320.22479999996721745, -37437.83750000037252903 165319.07049999944865704, -37489.57029999978840351 165318.81629999913275242, -37489.67829999979585409 165323.52710000053048134, -37495.52550000045448542 165577.34600000083446503, -37444.73759999964386225 165577.38729999959468842, -37395.57770000025629997 165578.55350000038743019, -37393.20720000006258488 165512.09909999929368496)))	1481	180978	13120301711	13	1312	131203	131203017	017	11	01711	13120301711	1	11	11A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	719.933783070728	26218.4274682589
MultiPolygon (((-36748.504700000397861 167645.02250000089406967, -36740.78490000031888485 167622.78140000067651272, -36737.5909000001847744 167612.91579999960958958, -36735.19489999953657389 167600.49929999932646751, -36733.06589999981224537 167587.11290000006556511, -36732.26680000033229589 167576.99330000020563602, -36740.25150000024586916 167576.99330000020563602, -36748.76910000015050173 167577.75219999998807907, -36760.21370000019669533 167578.51009999960660934, -36768.99729999992996454 167580.78700000047683716, -36776.98300000000745058 167584.834799999371171, -36784.70179999992251396 167590.65249999985098839, -36790.5565999997779727 167597.98919999971985817, -36793.75150000024586916 167605.32489999942481518, -36795.34850000031292439 167613.67349999956786633, -36795.61560000013560057 167621.26219999976456165, -36794.28469999972730875 167630.1169000007212162, -36790.5580000001937151 167638.46460000053048134, -36784.96929999999701977 167645.54930000007152557, -36777.78259999956935644 167652.12609999999403954, -36767.13609999977052212 167660.47479999996721745, -36759.15149999968707561 167664.77470000088214874, -36748.504700000397861 167645.02250000089406967)))	670	166642	13120301907	13	1312	131203	131203019	019	07	01907	13120301907	1	11	11A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241.341879824829	3784.3885478801
MultiPolygon (((-36712.3053999999538064 167665.76689999923110008, -36706.71549999993294477 167652.6124000009149313, -36700.8596000000834465 167636.67510000057518482, -36697.39969999995082617 167622.50769999995827675, -36694.20559999998658895 167606.82330000028014183, -36693.40660000033676624 167598.47560000047087669, -36735.19489999953657389 167600.49929999932646751, -36737.5909000001847744 167612.91579999960958958, -36740.78490000031888485 167622.78140000067651272, -36748.504700000397861 167645.02250000089406967, -36715.23440000042319298 167671.33259999938309193, -36712.3053999999538064 167665.76689999923110008)))	672	166644	13120301908	13	1312	131203	131203019	019	08	01908	13120301908	1	11	11A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207.348869378665	2566.62619001581
MultiPolygon (((-36735.99480000045150518 167709.27899999916553497, -36727.7440999997779727 167695.61759999953210354, -36718.96030000038444996 167679.68129999935626984, -36715.23440000042319298 167671.33259999938309193, -36748.504700000397861 167645.02250000089406967, -36759.15149999968707561 167664.77470000088214874, -36766.33729999978095293 167679.69999999925494194, -36772.62220000009983778 167690.89059999957680702, -36741.85070000030100346 167716.36170000024139881, -36735.99480000045150518 167709.27899999916553497)))	1142	170352	13120301911	13	1312	131203	131203019	019	11	01911	13120301911	1	11	11A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186.689245211827	2170.65899812358
MultiPolygon (((-37362.26620000042021275 166867.89140000008046627, -37358.10429999977350235 166859.88869999907910824, -37365.14680000022053719 166839.71949999965727329, -37362.3936999998986721 166820.20429999940097332, -37366.44950000010430813 166810.64460000023245811, -37374.11000000033527613 166796.82120000012218952, -37385.09960000030696392 166774.85999999940395355, -37410.94940000027418137 166778.53940000012516975, -37429.86739999987185001 166784.70030000060796738, -37442.18670000042766333 166791.34930000081658363, -37446.33860000036656857 166794.26970000006258488, -37430.31089999992400408 166819.69099999964237213, -37397.3738000001758337 166871.87710000015795231, -37383.96650000009685755 166895.22719999961555004, -37362.26620000042021275 166867.89140000008046627)))	1260	170902	13120302116	13	1312	131203	131203021	021	16	02116	13120302116	1	11	11A	2	2	0	2	2	0	2	0	0	0	0	2	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319.510044508628	5699.44540757558
MultiPolygon (((-36977.26730000041425228 167237.75530000030994415, -36983.51510000042617321 167231.74780000001192093, -36990.39429999981075525 167217.4602000005543232, -36986.5811999998986721 167204.12030000053346157, -36969.84850000031292439 167193.01339999958872795, -36958.30690000019967556 167181.88389999978244305, -36947.17729999963194132 167167.86849999986588955, -36932.72269999980926514 167147.35439999960362911, -36883.58009999990463257 167104.44060000032186508, -36862.94249999988824129 167115.02400000020861626, -36831.7215999998152256 167142.01149999909102917, -36799.79860000032931566 167132.9448000006377697, -36970.8974999999627471 166866.20940000005066395, -36856.3030000003054738 166936.82719999924302101, -36839.9727999996393919 166957.00149999931454659, -36837.54090000037103891 166954.89660000056028366, -36801.23309999983757734 166923.46600000001490116, -36931.82940000016242266 166781.4869999997317791, -36919.90780000016093254 166769.0234999991953373, -36905.81830000039190054 166760.35300000011920929, -36890.70490000024437904 166757.41819999925792217, -36929.0471000000834465 166736.65679999999701977, -36945.94029999990016222 166726.04810000024735928, -36986.91830000001937151 166688.48939999938011169, -37015.18979999981820583 166658.54350000061094761, -37020.03060000017285347 166653.41559999994933605, -37061.95040000043809414 166609.01119999960064888, -37081.61039999965578318 166592.31880000047385693, -37099.87349999975413084 166578.29319999925792217, -37153.18499999959021807 166548.57709999941289425, -37178.05379999987781048 166533.84060000069439411, -37195.44500000029802322 166520.05509999953210354, -37212.50810000021010637 166503.98259999975562096, -37223.35450000036507845 166492.89699999988079071, -37238.31570000015199184 166473.23870000056922436, -37243.10439999960362911 166463.79010000079870224, -37245.67829999979585409 166458.76520000025629997, -37247.95210000034421682 166453.30650000087916851, -37255.68169999960809946 166436.93109999969601631, -37262.9561999998986721 166421.2386000007390976, -37271.82160000037401915 166398.72350000031292439, -37277.88829999975860119 166386.45399999991059303, -37283.05609999969601631 166388.42989999987185001, -37289.89879999961704016 166389.33679999969899654, -37293.14460000023245811 166389.0397999994456768, -37296.39049999974668026 166388.74279999919235706, -37302.14819999970495701 166386.96079999953508377, -37307.03600000031292439 166384.3409000001847744, -37311.57880000025033951 166380.65499999932944775, -37313.59669999964535236 166378.19109999947249889, -37338.307799999602139 166400.16609999909996986, -37363.071000000461936 166422.11109999939799309, -37324.34300000034272671 166465.53060000017285347, -37250.38100000005215406 166557.14629999920725822, -37213.05599999986588955 166598.94979999959468842, -37209.23220000043511391 166605.88460000045597553, -37208.03729999996721745 166614.01429999992251396, -37209.11330000031739473 166621.18799999915063381, -37213.53519999980926514 166628.00269999913871288, -37222.61089999973773956 166635.91530000045895576, -37216.2203999999910593 166637.54790000058710575, -37184.0165999997407198 166645.77510000020265579, -37176.86189999990165234 166649.60300000011920929, -37165.59750000014901161 166657.80169999971985817, -37154.32510000001639128 166669.67530000023543835, -37152.9742000000551343 166677.52199999988079071, -37175.37040000036358833 166702.98159999959170818, -37193.23599999956786633 166711.52429999969899654, -37225.11050000041723251 166752.57919999957084656, -37235.00549999997019768 166773.87539999932050705, -37242.36699999962002039 166803.19959999993443489, -37278.00439999997615814 166794.15230000019073486, -37282.19519999995827675 166808.33390000090003014, -37284.79509999975562096 166813.5892999991774559, -37288.7701000003144145 166819.90110000036656857, -37292.19529999978840351 166838.57120000012218952, -37289.34769999980926514 166858.83630000054836273, -37286.28050000034272671 166875.39540000073611736, -37280.59910000022500753 166885.91259999945759773, -37264.16399999987334013 166922.76750000007450581, -37246.02500000037252903 166951.49520000070333481, -37242.55030000023543835 166958.34589999914169312, -37227.74490000028163195 166979.95570000074803829, -37208.95500000007450581 167004.70419999957084656, -37003.9360999995842576 167235.67909999936819077, -36988.26570000033825636 167249.54900000058114529, -36977.26730000041425228 167237.75530000030994415)))	1098	170299	13120302209	13	1312	131203	131203022	022	09	02209	13120302209	1	11	11A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2844.82091379368	192147.80642445
