OBJECTID_1,OBJECTID,DTMN11,FR11,SEC11,SS11,BGRI11,LUG11,LUG11DESIG,OBJECTID_12,ANO,GEO_COD,GEO_COD_DSG,NIVEL,NIVEL_DSG,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_CLASSICOS_1OU2,N_EDIFICIOS_CLASSICOS_ISOLADOS,N_EDIFICIOS_CLASSICOS_GEMIN,N_EDIFICIOS_CLASSICOS_EMBANDA,N_EDIFICIOS_CLASSICOS_3OUMAIS,N_EDIFICIOS_CLASSICOS_OUTROS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_PRINCIPAL_RESID,N_EDIFICIOS_PRINCIP_NAO_RESID,N_EDIFICIOS_1OU2_PISOS,N_EDIFICIOS_3OU4_PISOS,F_N_EDIFICIOS_5OU_MAIS_PISOS,N_EDIFICIOS_CONSTR_ANTES_1919,N_EDIFICIOS_CONSTR_1919A1945,N_EDIFICIOS_CONSTR_1946A1960,N_EDIFICIOS_CONSTR_1961A1970,N_EDIFICIOS_CONSTR_1971A1980,N_EDIFICIOS_CONSTR_1981A1990,N_EDIFICIOS_CONSTR_1991A1995,N_EDIFICIOS_CONSTR_1996A2000,N_EDIFICIOS_CONSTR_2001A2005,N_EDIFICIOS_CONSTR_2006A2011,N_EDIFICIOS_ESTRUT_BETAO,N_EDIFICIOS_ESTRUT_COM_PLACA,N_EDIFICIOS_ESTRUT_SEM_PLACA,N_EDIFICIOS_ESTRUT_ADOBE_PEDRA,N_EDIFICIOS_ESTRUT_OUTRA,N_ALOJAMENTOS,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASSICOS,N_ALOJAMENTOS_FAM_N_CLASSICOS,N_ALOJAMENTOS_COLECTIVOS,N_CLASSICOS_RES_HABITUAL,N_ALOJAMENTOS_RES_HABITUAL,N_ALOJAMENTOS_VAGOS,N_RES_HABITUAL_COM_AGUA,N_RES_HABITUAL_COM_RETRETE,N_RES_HABITUAL_COM_ESGOTOS,N_RES_HABITUAL_COM_BANHO,N_RES_HABITUAL_AREA_50,N_RES_HABITUAL_AREA_50_100,N_RES_HABITUAL_AREA_100_200,N_RES_HABITUAL_AREA_200,N_RES_HABITUAL_1_2_DIV,N_RES_HABITUAL_3_4_DIV,N_RES_HABITUAL_ESTAC_1,N_RES_HABITUAL_ESTAC_2,N_RES_HABITUAL_ESTAC_3,N_RES_HABITUAL_PROP_OCUP,N_RES_HABITUAL_ARREND,N_FAMILIAS_CLASSICAS,N_FAMILIAS_INSTITUCIONAIS,N_FAMILIAS_CLASSICAS_1OU2_PESS,N_FAMILIAS_CLASSICAS_3OU4_PESS,N_FAMILIAS_CLASSICAS_NPES65,N_FAMILIAS_CLASSICAS_NPES14,N_FAMILIAS_CLASSIC_SEM_DESEMP,N_FAMILIAS_CLASSIC_1DESEMPREG,N_FAMILIAS_CLASS_2MAIS_DESEMP,N_NUCLEOS_FAMILIARES,N_NUCLEOS_1FILH_NAO_CASADO,N_NUCLEOS_2FILH_NAO_CASADO,N_NUCLEOS_FILH_INF_6ANOS,N_NUCLEOS_FILH_INF_15ANOS,N_NUCLEOS_FILH_MAIS_15ANOS,N_INDIVIDUOS_PRESENT,N_INDIVIDUOS_PRESENT_H,N_INDIVIDUOS_PRESENT_M,N_INDIVIDUOS_RESIDENT,N_INDIVIDUOS_RESIDENT_H,N_INDIVIDUOS_RESIDENT_M,N_INDIVIDUOS_RESIDENT_0A4,N_INDIVIDUOS_RESIDENT_5A9,N_INDIVIDUOS_RESIDENT_10A13,N_INDIVIDUOS_RESIDENT_14A19,N_INDIVIDUOS_RESIDENT_15A19,N_INDIVIDUOS_RESIDENT_20A24,N_INDIVIDUOS_RESIDENT_20A64,N_INDIVIDUOS_RESIDENT_25A64,N_INDIVIDUOS_RESIDENT_65,N_INDIVIDUOS_RESIDENT_H_0A4,N_INDIVIDUOS_RESIDENT_H_5A9,N_INDIVIDUOS_RESIDENT_H_10A13,N_INDIVIDUOS_RESIDENT_H_14A19,N_INDIVIDUOS_RESIDENT_H_15A19,N_INDIVIDUOS_RESIDENT_H_20A24,N_INDIVIDUOS_RESIDENT_H_20A64,N_INDIVIDUOS_RESIDENT_H_25A64,N_INDIVIDUOS_RESIDENT_H_65,N_INDIVIDUOS_RESIDENT_M_0A4,N_INDIVIDUOS_RESIDENT_M_5A9,N_INDIVIDUOS_RESIDENT_M_10A13,N_INDIVIDUOS_RESIDENT_M_14A19,N_INDIVIDUOS_RESIDENT_M_15A19,N_INDIVIDUOS_RESIDENT_M_20A24,N_INDIVIDUOS_RESIDENT_M_20A64,N_INDIVIDUOS_RESIDENT_M_25A64,N_INDIVIDUOS_RESIDENT_M_65,N_INDIV_RESIDENT_N_LER_ESCRV,N_IND_RESIDENT_FENSINO_1BAS,N_IND_RESIDENT_FENSINO_2BAS,N_IND_RESIDENT_FENSINO_3BAS,N_IND_RESIDENT_FENSINO_SEC,N_IND_RESIDENT_FENSINO_POSSEC,N_IND_RESIDENT_FENSINO_SUP,N_IND_RESIDENT_ENSINCOMP_1BAS,N_IND_RESIDENT_ENSINCOMP_2BAS,N_IND_RESIDENT_ENSINCOMP_3BAS,N_IND_RESIDENT_ENSINCOMP_SEC,N_IND_RESIDENT_ENSINCOMP_POSEC,N_IND_RESIDENT_ENSINCOMP_SUP,N_IND_RESID_DESEMP_PROC_1EMPRG,N_IND_RESID_DESEMP_PROC_EMPRG,N_IND_RESID_EMPREGADOS,N_IND_RESID_PENS_REFORM,N_IND_RESID_SEM_ACT_ECON,N_IND_RESID_EMPREG_SECT_PRIM,N_IND_RESID_EMPREG_SECT_SEQ,N_IND_RESID_EMPREG_SECT_TERC,N_IND_RESID_ESTUD_MUN_RESID,N_IND_RESID_TRAB_MUN_RESID
"1","1622","1312","03","023","03","13120302303","007437",Porto,"199611","2011","13120302303",,"8",Subsecção,"29","28","4","14","10","1","0","29","0","0","26","3","0","4","23","0","0","0","0","0","0","0","2","1","0","28","0","0","31","31","31","0","0","17","17","14","17","17","17","17","2","8","7","0","1","8","6","2","1","11","5","17","0","11","6","10","0","16","1","0","13","4","2","0","0","6","37","15","22","38","14","24","0","0","0","2","2","1","20","19","16","0","0","0","0","0","0","7","7","7","0","0","0","2","2","1","13","12","9","2","0","0","0","3","0","2","12","2","6","5","0","10","0","1","15","17","22","1","2","12","3","11"
"2","1623","1312","03","011","07","13120301107","007437",Porto,"199535","2011","13120301107",,"8",Subsecção,"36","28","4","14","10","8","0","31","5","0","20","15","1","0","2","11","4","13","6","0","0","0","0","33","2","0","1","0","72","72","72","0","0","55","55","11","55","55","55","55","7","30","14","4","1","22","15","5","0","33","20","57","0","29","22","16","15","43","13","1","50","23","7","5","15","26","145","68","77","152","75","77","3","7","6","16","13","9","98","89","22","1","5","1","7","7","3","49","46","12","2","2","5","9","6","6","49","43","10","1","6","5","7","6","0","11","36","26","34","22","4","15","1","14","54","32","64","0","8","46","33","43"
"3","1624","1312","03","008","04","13120300804","007437",Porto,"199513","2011","13120300804",,"8",Subsecção,"9","9","0","3","6","0","0","9","0","0","7","2","0","0","0","4","2","0","0","1","2","0","0","0","0","0","9","0","9","9","9","0","0","7","7","0","7","7","7","7","0","4","3","0","0","0","3","3","0","7","0","7","0","6","0","6","0","7","0","0","5","0","0","0","0","1","13","8","5","15","9","6","0","0","0","0","0","0","6","6","9","0","0","0","0","0","0","4","4","5","0","0","0","0","0","0","2","2","4","0","0","0","0","0","0","1","3","3","3","3","0","3","0","0","2","10","13","0","2","0","1","1"
"4","1625","1312","03","018","05","13120301805","007437",Porto,"199575","2011","13120301805",,"8",Subsecção,"5","5","2","3","0","0","0","5","0","0","5","0","0","0","2","0","0","3","0","0","0","0","0","3","1","1","0","0","5","5","5","0","0","5","5","0","5","5","5","5","1","2","2","0","0","1","2","0","0","4","1","5","0","4","1","4","1","5","0","0","3","1","0","0","1","0","11","6","5","11","6","5","0","0","1","0","0","0","4","4","6","0","0","1","0","0","0","2","2","3","0","0","0","0","0","0","2","2","3","0","1","0","0","0","0","1","3","1","2","1","0","2","0","0","4","6","6","0","0","4","2","3"
"5","1626","1312","03","034","03","13120303403","007437",Porto,"199660","2011","13120303403",,"8",Subsecção,"17","0","0","0","0","17","0","17","0","0","0","17","0","0","0","0","0","8","5","4","0","0","0","17","0","0","0","0","140","139","139","0","1","132","132","4","132","132","132","131","19","96","16","1","2","67","11","0","1","48","81","132","1","65","54","48","25","97","28","7","120","59","17","12","24","62","370","155","215","376","157","219","14","9","8","24","20","23","262","239","59","9","3","3","8","8","9","114","105","20","5","6","5","16","12","14","148","134","39","28","7","7","15","13","2","8","131","60","67","34","2","13","9","34","133","100","165","1","23","109","56","93"
"6","1627","1312","03","034","04","13120303404","007437",Porto,"199661","2011","13120303404",,"8",Subsecção,"2","0","0","0","0","2","0","1","1","0","1","1","0","0","0","1","0","0","1","0","0","0","0","2","0","0","0","0","16","16","16","0","0","11","11","2","11","11","11","11","2","8","1","0","1","6","1","0","0","1","10","11","0","6","4","2","3","5","4","2","9","3","2","1","3","4","27","13","14","27","13","14","0","3","1","3","3","1","17","16","3","0","2","1","1","1","0","7","7","2","0","1","0","2","2","1","10","9","1","1","2","1","1","1","0","0","9","3","6","5","0","0","2","6","8","4","7","0","1","7","5","3"
"7","1628","1312","03","008","01","13120300801","007437",Porto,"199510","2011","13120300801",,"8",Subsecção,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","1629","1312","03","015","03","13120301503","007437",Porto,"199555","2011","13120301503",,"8",Subsecção,"10","10","0","10","0","0","0","10","0","0","10","0","0","0","1","1","3","0","2","1","0","1","1","8","2","0","0","0","10","10","10","0","0","6","6","4","6","6","6","6","0","3","2","1","0","1","1","5","0","4","1","6","0","3","3","2","1","6","0","0","6","1","2","0","1","2","16","7","9","17","8","9","0","1","1","0","0","1","12","11","3","0","0","0","0","0","0","7","7","1","0","1","1","0","0","1","5","4","2","0","1","1","0","0","0","1","3","0","2","7","0","3","0","0","6","4","9","0","0","6","3","2"
"9","1760","1312","11","053","03","13121105303","007437",Porto,"200912","2011","13121105303",,"8",Subsecção,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","7692","1312","11","009","01","13121100901","007437",Porto,"200735","2011","13121100901",,"8",Subsecção,"14","0","0","0","0","13","1","11","2","1","0","0","14","0","0","0","0","8","0","0","0","3","3","12","2","0","0","0","354","353","353","0","1","282","282","35","282","282","282","282","9","85","185","3","2","126","148","19","5","217","50","282","0","147","122","58","73","230","46","6","214","89","56","40","76","97","676","293","383","708","309","399","38","32","23","57","45","45","481","436","77","18","13","10","28","21","19","205","186","35","20","19","13","29","24","26","276","250","42","2","25","13","34","32","3","47","55","69","103","166","5","223","15","43","345","94","200","1","35","309","156","253"
