WKT,fid,OBJECTID,BGRI2021,DT21,DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,NUTS1,NUTS2,NUTS3,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ,N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_1_OU_2_PISOS,N_EDIFICIOS_3_OU_MAIS_PISOS,N_EDIFICIOS_CONSTR_ANTES_1945,N_EDIFICIOS_CONSTR_1946_1980,N_EDIFICIOS_CONSTR_1981_2000,N_EDIFICIOS_CONSTR_2001_2010,N_EDIFICIOS_CONSTR_2011_2021,N_EDIFICIOS_COM_NECESSIDADES_REPARACAO,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASS_RHABITUAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA,N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS,N_RHABITUAL_COM_ESTACIONAMENTO,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_AGREGADOS_DOMESTICOS_PRIVADOS,N_ADP_1_OU_2_PESSOAS,N_ADP_3_OU_MAIS_PESSOAS,N_NUCLEOS_FAMILIARES,N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25,N_INDIVIDUOS,N_INDIVIDUOS_H,N_INDIVIDUOS_M,N_INDIVIDUOS_0_14,N_INDIVIDUOS_15_24,N_INDIVIDUOS_25_64,N_INDIVIDUOS_65_OU_MAIS,SHAPE_Length,SHAPE_Area,lon,lat,sqm_price,number_of_ev_cars
"MULTIPOLYGON (((-8.61921540937816 41.1710629933106,-8.61850078470544 41.170661216807,-8.61770007451112 41.1700912181635,-8.61758494742126 41.1699674040598,-8.61862591591229 41.1693953970944,-8.61994470691552 41.1704085843817,-8.62008269688075 41.1703802848413,-8.62017604246253 41.1707478176437,-8.61942609385544 41.171235022073,-8.61921540937816 41.1710629933106)))",1,52,13121000702,13,1312,131210,131210007,7,2,702,13121000702,1,11,11A,59,44,15,58,43,16,25,26,5,3,0,34,202,202,155,47,29,73,103,39,155,105,50,98,40,328,145,183,29,34,184,81,612.308514074003,21064.4734505574,-8.618940663097668,41.17030858536361,2848,1.3723476539518549
"MULTIPOLYGON (((-8.59925566704662 41.1723217002994,-8.59976891700366 41.1721435468849,-8.59991824170796 41.1723953141151,-8.59940600431455 41.1725652332365,-8.59925566704662 41.1723217002994)))",8,59,13121001303,13,1312,131210,131210013,13,3,1303,13121001303,1,11,11A,4,4,0,4,4,0,0,2,0,2,0,0,4,4,4,0,1,4,4,0,4,1,3,3,1,13,7,6,3,1,7,2,154.827970601439,1426.45942553179,-8.59958821589086,41.1723558651009,2848,0.045897914847888126
"MULTIPOLYGON (((-8.59592497108019 41.172369872397,-8.59575926562101 41.1722617433498,-8.59538608745882 41.171833763261,-8.59555247318752 41.1718509401221,-8.59584302968269 41.1718552198969,-8.59607875514372 41.171843691646,-8.59627769008279 41.1718261888215,-8.59668781512321 41.171771810433,-8.59690402275522 41.1717333568729,-8.59697134790055 41.1717213801303,-8.59707097162466 41.1717036545493,-8.59749804797731 41.1716218057269,-8.59777610364933 41.171563759857,-8.59787619109326 41.1715442677613,-8.59816388997254 41.1720417723919,-8.59786855859776 41.1721357783476,-8.5974858996599 41.1722575889516,-8.59721935773404 41.1723483166473,-8.59699566473697 41.1724244624373,-8.59677067184526 41.1725010506356,-8.5964465557942 41.172611384703,-8.59592497108019 41.172369872397)))",9,60,13121002206,13,1312,131210,131210022,22,6,2206,13121002206,1,11,11A,15,0,15,15,0,15,0,14,1,0,0,0,143,143,139,4,0,2,1,136,139,92,47,85,40,310,147,163,36,37,152,85,557.264698290005,14545.7880471436,-8.596833958447007,41.17205723571251,2848,1.2576028668321346
"MULTIPOLYGON (((-8.59864273625737 41.1723268643702,-8.59914674279229 41.1721540636383,-8.59925566704662 41.1723217002994,-8.59940600431455 41.1725652332365,-8.59948509806103 41.1727169807411,-8.59898108812832 41.172889782955,-8.59864273625737 41.1723268643702)))",17,68,13121001304,13,1312,131210,131210013,13,4,1304,13121001304,1,11,11A,8,8,0,8,8,0,0,5,3,0,0,1,8,8,7,1,2,1,6,0,7,4,3,5,1,16,8,8,0,3,7,6,230.25102215894,3227.02926134241,-8.59906708771915,41.172521163504754,2848,0.073436663756621
"MULTIPOLYGON (((-8.58724487400361 41.1729207706245,-8.58765090850202 41.1722804533482,-8.58820792136872 41.1724701081181,-8.58892384085808 41.1727008106579,-8.58878075943791 41.1727793065484,-8.58877732856721 41.1727811930215,-8.58805622616061 41.1729304773211,-8.58732217271582 41.1729669083352,-8.58724487400361 41.1729207706245)))",18,69,13121003201,13,1312,131210,131210032,32,1,3201,13121003201,1,11,11A,28,19,9,28,18,10,0,28,0,0,0,24,64,64,48,16,4,1,6,35,48,33,15,29,13,102,47,55,10,13,61,18,343.371787449323,5806.29816686933,-8.587966087411738,41.17268267495108,2848,0.42226081660057074
"MULTIPOLYGON (((-8.59839812283376 41.1724078904392,-8.59864273625737 41.1723268643702,-8.59898108812832 41.172889782955,-8.59872909504064 41.1729788435138,-8.59839812283376 41.1724078904392)))",20,71,13121001305,13,1312,131210,131210013,13,5,1305,13121001305,1,11,11A,6,6,0,6,6,0,0,5,1,0,0,1,6,6,4,2,0,3,2,2,4,4,0,1,0,6,4,2,0,0,4,2,183.646952558778,1577.20674139084,-8.598688725941598,41.17265282121284,2848,0.027538748908732875
"MULTIPOLYGON (((-8.60853403619612 41.1710420749053,-8.60838806094397 41.170672715707,-8.60867906316621 41.1705649033262,-8.60919587643596 41.1706027574008,-8.60979645713224 41.1708291183362,-8.610162746438 41.1711743493895,-8.61080113467808 41.1715694983977,-8.61114609737542 41.1717830139224,-8.61107102783644 41.1726390450369,-8.61034837707939 41.1727711959759,-8.60931199354911 41.1729592250274,-8.60853403619612 41.1710420749053)))",21,72,13121000912,13,1312,131210,131210009,9,12,912,13121000912,1,11,11A,26,22,4,24,23,3,22,2,2,0,0,11,77,77,36,41,15,23,18,14,36,26,10,25,10,77,36,41,6,8,44,19,795.535813707437,37644.012776311,-8.609769761360106,41.17179285319855,2848,0.3258751954200057
"MULTIPOLYGON (((-8.59948509806103 41.1727169807411,-8.59940600431455 41.1725652332365,-8.59991824170796 41.1723953141151,-8.60023583885083 41.1729287348032,-8.59971452221056 41.1731109019706,-8.59948509806103 41.1727169807411)))",23,74,13121001306,13,1312,131210,131210013,13,6,1306,13121001306,1,11,11A,10,10,0,10,10,0,0,10,0,0,0,2,10,10,6,4,2,6,5,0,6,4,2,6,1,15,7,8,2,0,7,6,226.014783471816,3129.23816102416,-8.599817179567852,41.1727516817779,2848,0.05966728930225457
"MULTIPOLYGON (((-8.59828712373226 41.1704407276834,-8.59832243033509 41.1700776620158,-8.59871393220778 41.1700992275074,-8.59867654068347 41.1704637343069,-8.59828712373226 41.1704407276834)))",29,238,13121000603,13,1312,131210,131210006,6,3,603,13121000603,1,11,11A,8,8,0,8,7,1,0,8,0,0,0,5,8,8,7,1,1,1,4,2,7,3,4,4,4,16,7,9,3,2,9,2,146.755345798027,1331.40927493181,-8.598500160463717,41.17027019595771,2848,0.05966728930225457
"MULTIPOLYGON (((-8.59905083047186 41.1704689632344,-8.59906686018816 41.1702980655688,-8.59908184865068 41.1701367977359,-8.59909637610976 41.1699809433635,-8.5991176386481 41.1697534620107,-8.59950237018331 41.1697731432996,-8.59949346661432 41.1700092638556,-8.59948749131388 41.1701678209638,-8.59948085440045 41.1703438212299,-8.59947527015642 41.170491995655,-8.59905083047186 41.1704689632344)))",31,240,13121000604,13,1312,131210,131210006,6,4,604,13121000604,1,11,11A,12,12,0,12,12,0,7,5,0,0,0,3,24,24,19,5,6,1,5,12,19,14,5,7,4,35,12,23,5,4,12,14,227.599534504821,2713.57763690111,-8.599286207583758,41.17012776219683,2848,0.13769374454366437
