name,latitude,longitude,chargers,nearest_centroid
MOBI.E - PRT-00085,41.156488,-8.61385,4,170979
PRT-00180,41.151803,-8.625482,3,168195
PRT-00173,41.180186,-8.634868,3,167014
PRT-00155,41.157865,-8.664276,3,168215
PRT-00156,41.170999,-8.658587,3,169936
PRT-00153,41.185065,-8.608203,3,167593
PRT-00154,41.17265,-8.638926,3,170297
PRT-00020,41.1804,-8.635251,3,167014
PRT-00127,41.1513,-8.6341,3,165352
PRT-00128,41.14559,-8.57806,3,172940
PRT-00097,41.173581,-8.654389,3,166583
PRT-00132,41.1632,-8.58994,3,165062
PRT-00001,41.161727,-8.628194,3,164449
PRT-00129,41.150898,-8.626431,3,168195
PRT-00050,41.152281,-8.652734,3,165353
PRT-00091,41.180086,-8.581465,3,167009
PRT-00096,41.169405,-8.610542,3,170904
PRT-00051,41.180207,-8.634821,3,167014
PRT-00052,41.16547,-8.671437,3,166222
PRT-00068,41.174573,-8.60994,3,170313
FEUP-00002,41.178538,-8.594961,3,170710
PRT-00019,41.16409,-8.639392,3,166928
MTS-00031,41.171886,-8.678417,3,166271
MTS-00046,41.179234,-8.690939,3,166271
PRT-00060,41.157315,-8.627193,3,168218
PRT-00049,41.157669,-8.633533,3,181915
PRT-00073,41.173491,-8.626458,3,166972
PRT-00134,41.162879,-8.667807,3,166179
PRT-00147,41.1771,-8.655239,3,170678
FEUP-00001,41.177954,-8.598625,3,170358
PRT-00076,41.162667,-8.569944,3,164460
PRT-00096 - PCR - Porto (LIDL J. Bastos),41.169187372475,-8.610435406361,3,170904
PRT-00091 - PCR - Areosa (LIDL),41.17991130444,-8.581190398029,3,170703
Hotel Vincci Porto,41.147032669149,-8.63229350447,3,178006
PRT-00020 - PCR - Q8 Circunvalação,41.1804,-8.635251,3,167014
PRT-00001 - PCR - Porto (Av. França),41.161727,-8.628194,3,164449
CC Parque Nascente,41.174564036071,-8.566753237048,3,167283
PRT-00171,41.151309,-8.634359,2,165352
PRT-00170,41.156154,-8.626015,2,171227
I-CHARGING TEST,41.15581,-8.65118,2,170655
NISSAN CAETANO POWER S.A. (Porto),41.17807,-8.652524,2,167286
PRT-00160,41.17552,-8.64641,2,167281
PRT-00159,41.15594,-8.629741,2,171224
Bessa Hotel Baixa,41.149933980323,-8.603554626984,2,167612
GDM-00007,41.141879,-8.573547,2,165091
comum,41.145345531547,-8.579664118588,2,177776
PRT-00037,41.163088,-8.623606,2,164034
PRT-00101,41.17786,-8.64865,2,170366
PRT-00013,41.16173,-8.628177,2,164449
PRT-00062,41.157225,-8.625865,2,163344
PRT-00071,41.162725,-8.576799,2,165400
PRT-00145,41.160958,-8.610623,2,163697
PRT-00022,41.164061,-8.584285,2,166924
PRT-00030,41.149861,-8.599278,2,168198
PRT-00094,41.1482,-8.61206,2,178038
PRT-00046,41.14095,-8.615195,2,155338
PRT-00028,41.143765,-8.575556,2,173206
PRT-00031,41.150867,-8.599111,2,168198
PRT-00034,41.145662,-8.629866,2,173216
PRT-00105,41.177674,-8.648548,2,170366
PRT-00146,41.147913,-8.65898,2,167292
PRT-00015,41.161868,-8.592612,2,166172
PRT-00036,41.163057,-8.623553,2,164034
PRT-00014,41.161704,-8.592312,2,166172
Charge point GreenFlux,41.15581,-8.65118,2,170655
GDM-00007/8 - Pestana Palácio do Freixo,41.1425685,-8.574825584656,2,200219
MOBI-MTS-00001 -Ceiia,41.172650799385,-8.679865374082,2,166271
PRT-00017/18,41.176326235993,-8.660647122268,2,170334
Centro Porsche Porto,41.173607576097,-8.647529341249,2,167273
PRT-00028/29 - Pestana Palácio do Freixo,41.142536078523,-8.574841283016,2,200219
PRT-00033/34 - Vila Galé Porto Ribeira,41.145717962083,-8.629898554532,2,173216
Vila Foz Hotel Spa,41.16140063964,-8.684451080913,2,164470
IPP-00001/2 - Hospital de São João,41.182011541633,-8.600378453812,2,171015
Maison Albar Hotels Le Monumental Palace,41.148403165251,-8.611395257645,2,166990
PRT-00016,41.162128,-8.606011,2,164010
Porto Deluxe - GuestHouse,41.157925918687,-8.632586137148,2,181904
Hotel da Música,41.156320169046,-8.629159685499,2,170963
Kinda Home - Porto,41.177788149452,-8.653986426984,2,170678
PRT-00013 - PCR - Porto (Av. da França),41.16173,-8.628177,2,164449
Hotel Teatro - Tesla Destination Charger,41.146783,-8.609327513492,2,178013
Bessa Hotel Boavista,41.162266144097,-8.645056709647,2,164478
Hotel Crowne Plaza Porto,41.160132469508,-8.640758469701,2,193519
PRT-00032/33 - Hotel Vile Gale,41.15054,-8.5985834,2,168198
PRT-00101 - PCR - Porto,41.17786,-8.64865,2,170366
MOBI.E - PRT-00103,41.16381,-8.584317,2,166214
MOBI.E - PRT-00086,41.158733342,-8.631721895,2,193624
TESTE WDAO- PRODDD,41.167752,-8.625241,1,202311
Garagem Porto D'ouro,41.15189,-8.606603,1,165344
Garagem Porto D'ouro 2 ,41.151918,-8.606596,1,165344
PRT-00187,41.147353,-8.620892,1,178303
PRT-00143,41.17216,-8.6099,1,72
PRT-00141,41.1721,-8.60987,1,72
PRT-00142,41.17214,-8.60989,1,72
PRT-00021,41.147295,-8.620757,1,178303
PRT-00069,41.162752,-8.629396,1,164468
PRT-00070,41.162602,-8.629396,1,164468
PRT-00139,41.147129,-8.631778,1,178015
PRT-00144,41.17217,-8.60991,1,72
GARAGEM CAMOES,41.149967685191,-8.599957084656,1,178062
MOBI.E - PRT-00021 (C.C. Cristal Park),41.147295,-8.620757,1,178303
Renault Boavista,41.155961111469,-8.648796688639,1,163312
Via Catarina Porto,41.148900063162,-8.605959489942,1,167563
LoftAbroad Apartments,41.157446456073,-8.64390334581,1,163318
VORTEX Gingabike - Motocidade.,41.1599707,-8.6080707,1,163667
Nissan Porto ZI,41.177855874604,-8.652850342017,1,167286
Riera Alta,41.151291,-8.621628,1,178335
